SEQ|Selection|Species|Author|Family|Genus|MatchType|Backbone|SID|scientificFinal|scientificNameAuthorship|taxonomicStatus|SynonymBackbone|SynonymSID|SpeciesWCUPS|MatchTypeWCUPS|BackboneWCUPS|SIDWCUPS
1|GTS|Abarema alexandri|(Urb.) Barneby & J.W.Grimes|Fabaceae|Abarema|direct|WFO|wfo-0000194222|Abarema alexandri|(Urb.) Barneby & J.W.Grimes|ACCEPTED|""|""|Abarema alexandri|direct|WFO|wfo-0000194222
2|GTS|Abarema cochliocarpos|(Gomes) Barneby & J.W.Grimes|Fabaceae|Abarema|direct|WFO|wfo-0000194208|Abarema cochliocarpos|(Gomes) Barneby & J.W.Grimes|ACCEPTED|""|""|Abarema cochliacarpos|manual|WFO|wfo-0000194208
3|GTS|Abarema jupunba|(Willd.) Britton & Killip|Fabaceae|Abarema|direct|WFO|wfo-0000171294|Abarema jupunba|Britton & Killip|ACCEPTED|""|""|Abarema jupunba|direct|WFO|wfo-0000171294
4|GTS|Abarema laeta|(Benth.) Barneby & J.W.Grimes|Fabaceae|Abarema|direct|WFO|wfo-0001062433|Abarema laeta|(Benth.) Barneby & J.W.Grimes|ACCEPTED|""|""|Abarema laeta|direct|WFO|wfo-0001062433
5|Top830plus|Abelmoschus moschatus|(Top830)|Malvaceae|Abelmoschus|direct|WFO|wfo-0000510888|Abelmoschus moschatus|Medik.|ACCEPTED|""|""|Abelmoschus moschatus|direct|WFO|wfo-0000510888
6|GTS|Abies alba|Mill.|Pinaceae|Abies|direct|WFO|wfo-0000510976|Abies alba|Mill.|ACCEPTED|""|""|Abies alba|direct|WFO|wfo-0000510976
7|GTS|Abies amabilis|(Douglas ex Loudon) J.Forbes|Pinaceae|Abies|direct|WFO|wfo-0000510989|Abies amabilis|Douglas ex J.Forbes|ACCEPTED|""|""|Abies amabilis|direct|WFO|wfo-0000510989
8|GTS|Abies balsamea|(L.) Mill.|Pinaceae|Abies|direct|WFO|wfo-0000511004|Abies balsamea|(L.) Mill.|ACCEPTED|""|""|Abies balsamea|direct|WFO|wfo-0000511004
9|GTS|Abies cephalonica|Loudon|Pinaceae|Abies|direct|WFO|wfo-0000511042|Abies cephalonica|Loudon|ACCEPTED|""|""|Abies cephalonica|direct|WFO|wfo-0000511042
10|GTS|Abies cilicica|(Antoine & Kotschy) Carrière|Pinaceae|Abies|direct|WFO|wfo-0000511062|Abies cilicica|(Antoine & Kotschy) Carrière|ACCEPTED|""|""|Abies cilicica|direct|WFO|wfo-0000511062
11|GTS|Abies concolor|(Gordon) Lindl. ex Hildebr.|Pinaceae|Abies|direct|WFO|wfo-0000511077|Abies concolor|(Gordon & Glend.) Lindl. ex Hildebr.|ACCEPTED|""|""|Abies concolor|direct|WFO|wfo-0000511077
12|GTS|Abies densa|Griff.|Pinaceae|Abies|direct|WFO|wfo-0000511103|Abies densa|Griff.|ACCEPTED|""|""|Abies densa|direct|WFO|wfo-0000511103
13|GTS|Abies firma|Siebold & Zucc.|Pinaceae|Abies|direct|WFO|wfo-0000511154|Abies firma|Siebold & Zucc.|ACCEPTED|""|""|Abies firma|direct|WFO|wfo-0000511154
14|GTS|Abies fraseri|(Pursh) Poir.|Pinaceae|Abies|direct|WFO|wfo-0000511165|Abies fraseri|(Pursh) Poir.|ACCEPTED|""|""|Abies fraseri|direct|WFO|wfo-0000511165
15|GTS|Abies grandis|(Douglas ex D.Don) Lindl.|Pinaceae|Abies|direct|WFO|wfo-0000511178|Abies grandis|(Douglas ex D.Don) Lindl.|ACCEPTED|""|""|Abies grandis|direct|WFO|wfo-0000511178
16|GTS|Abies guatemalensis|Rehder|Pinaceae|Abies|direct|WFO|wfo-0000511185|Abies guatemalensis|Rehder|ACCEPTED|""|""|Abies guatemalensis|direct|WFO|wfo-0000511185
17|GTS|Abies homolepis|Siebold & Zucc.|Pinaceae|Abies|direct|WFO|wfo-0000511207|Abies homolepis|Siebold & Zucc.|ACCEPTED|""|""|Abies homolepis|direct|WFO|wfo-0000511207
18|GTS|Abies koreana|E.H.Wilson|Pinaceae|Abies|direct|WFO|wfo-0000511223|Abies koreana|E.H.Wilson|ACCEPTED|""|""|Abies koreana|direct|WFO|wfo-0000511223
19|GTS|Abies lasiocarpa|(Hook.) Nutt.|Pinaceae|Abies|direct|WFO|wfo-0000511232|Abies lasiocarpa|(Hook.) Nutt.|ACCEPTED|""|""|Abies lasiocarpa|direct|WFO|wfo-0000511232
20|GTS|Abies magnifica|A.Murray|Pinaceae|Abies|direct|WFO|wfo-0000511249|Abies magnifica|A.Murray bis|ACCEPTED|""|""|Abies magnifica|direct|WFO|wfo-0000511249
21|GTS|Abies nephrolepis|(Trautv.) Maxim.|Pinaceae|Abies|direct|WFO|wfo-0000511289|Abies nephrolepis|Maxim.|ACCEPTED|""|""|Abies nephrolepis|direct|WFO|wfo-0000511289
22|GTS|Abies nordmanniana|(Steven) Spach|Pinaceae|Abies|direct|WFO|wfo-0000511305|Abies nordmanniana|(Steven) Spach|ACCEPTED|""|""|Abies nordmanniana|direct|WFO|wfo-0000511305
23|GTS|Abies numidica|de Lannoy ex Carrière|Pinaceae|Abies|direct|WFO|wfo-0000511319|Abies numidica|de Lannoy ex Carrière|ACCEPTED|""|""|Abies numidica|direct|WFO|wfo-0000511319
24|GTS|Abies pindrow|(Royle ex D.Don) Royle|Pinaceae|Abies|direct|WFO|wfo-0000511353|Abies pindrow|Royle|ACCEPTED|""|""|Abies pindrow|direct|WFO|wfo-0000511353
25|GTS|Abies pinsapo|Boiss.|Pinaceae|Abies|direct|WFO|wfo-0000511356|Abies pinsapo|Boiss.|ACCEPTED|""|""|Abies pinsapo|direct|WFO|wfo-0000511356
26|GTS|Abies procera|Rehder|Pinaceae|Abies|direct|WFO|wfo-0000511367|Abies procera|Rehder|ACCEPTED|""|""|Abies procera|direct|WFO|wfo-0000511367
27|GTS|Abies recurvata|Mast.|Pinaceae|Abies|direct|WFO|wfo-0000511372|Abies recurvata|Masters|ACCEPTED|""|""|Abies recurvata|direct|WFO|wfo-0000511372
28|GTS|Abies religiosa|(Kunth) Schltdl. & Cham.|Pinaceae|Abies|direct|WFO|wfo-0000511376|Abies religiosa|(Kunth) Schltdl. & Cham.|ACCEPTED|""|""|Abies religiosa|direct|WFO|wfo-0000511376
29|GTS|Abies sachalinensis|(F.Schmidt) Mast.|Pinaceae|Abies|direct|WFO|wfo-0000511384|Abies sachalinensis|(F.Schmidt) Mast.|ACCEPTED|""|""|Abies sachalinensis|direct|WFO|wfo-0000511384
30|GTS|Abies sibirica|Ledeb.|Pinaceae|Abies|direct|WFO|wfo-0000511396|Abies sibirica|Ledeb.|ACCEPTED|""|""|Abies sibirica|direct|WFO|wfo-0000511396
31|GTS|Abies spectabilis|(D.Don) Mirb.|Pinaceae|Abies|direct|WFO|wfo-0000511410|Abies spectabilis|(D.Don) Mirb.|ACCEPTED|""|""|Abies spectabilis|direct|WFO|wfo-0000511410
32|GTS|Abies veitchii|Lindl.|Pinaceae|Abies|direct|WFO|wfo-0000511444|Abies veitchii|Lindl.|ACCEPTED|""|""|Abies veitchii|direct|WFO|wfo-0000511444
33|GTS|Abrahamia grandidieri|(Engl.) Randrian. & Lowry|Anacardiaceae|Abrahamia|direct|WFO|wfo-0001278404|Abrahamia grandidieri|(Engl.) Randrian. & Lowry|ACCEPTED|""|""|Abrahamia grandidieri|direct|WFO|wfo-0001278404
34|Top830plus|Abroma augustum|(Top830)|Malvaceae|Abroma|direct|WFO|wfo-0000511487|Abroma augustum|(L.) L.f.|ACCEPTED|""|""|Abroma augustum|direct|WFO|wfo-0000511487
35|GTS|Abuta grandifolia|(Mart.) Sandwith|Menispermaceae|Abuta|direct|WFO|wfo-0000511646|Abuta grandifolia|(Mart.) Sandwith|ACCEPTED|""|""|Abuta grandifolia|direct|WFO|wfo-0000511646
36|GTS|Abuta rufescens|Aubl.|Menispermaceae|Abuta|direct|WFO|wfo-0000511672|Abuta rufescens|Aubl.|ACCEPTED|""|""|Abuta rufescens|direct|WFO|wfo-0000511672
37|GTS|Abutilon herzogianum|R.E.Fr.|Malvaceae|Abutilon|direct|WFO|wfo-0000511965|Abutilon herzogianum|R.E.Fr.|ACCEPTED|""|""|Abutilon herzogianum|direct|WFO|wfo-0000511965
38|GTS|Abutilon incanum|(Link) Sweet|Malvaceae|Abutilon|direct|WFO|wfo-0000511986|Abutilon incanum|(Link) Sweet|ACCEPTED|""|""|Abutilon incanum|direct|WFO|wfo-0000511986
39|GTS|Abutilon peruvianum|(Lam.) Kearney|Malvaceae|Abutilon|direct|WFO|wfo-0001342142|Callianthe peruviana|(Lam.) Dorr|ACCEPTED|WFO|wfo-0000512189|Callianthe peruviana|direct|WFO|wfo-0001342142
40|GTS|Abutilon venosum|Lem.|Malvaceae|Abutilon|direct|WFO|wfo-0000512365|Abutilon venosum|Lem.|ACCEPTED|""|""|Abutilon venosum|direct|WFO|wfo-0000512365
41|GTS|Acacia acuminata|Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000185281|Acacia acuminata|Benth.|ACCEPTED|""|""|Acacia acuminata|direct|WFO|wfo-0000185281
42|GTS|Acacia adsurgens|Maiden|Fabaceae|Acacia|direct|WFO|wfo-0000202896|Acacia adsurgens|Maiden & Blakely|ACCEPTED|""|""|Acacia adsurgens|direct|WFO|wfo-0000202896
43|GTS|Acacia ampliceps|Maslin|Fabaceae|Acacia|direct|WFO|wfo-0000201483|Acacia ampliceps|Maslin|ACCEPTED|""|""|Acacia ampliceps|direct|WFO|wfo-0000201483
44|GTS|Acacia ancistrocarpa|Maiden & Blakely|Fabaceae|Acacia|direct|WFO|wfo-0000202743|Acacia ancistrocarpa|Maiden & Blakely|ACCEPTED|""|""|Acacia ancistrocarpa|direct|WFO|wfo-0000202743
45|GTS|Acacia aneura|F.Muell. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000186688|Acacia aneura|Benth.|ACCEPTED|""|""|Acacia aneura|direct|WFO|wfo-0000186688
46|GTS|Acacia argyrodendron|Domin|Fabaceae|Acacia|direct|WFO|wfo-0000202389|Acacia argyrodendron|Domin|ACCEPTED|""|""|Acacia argyrodendron|direct|WFO|wfo-0000202389
47|GTS|Acacia aulacocarpa|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202547|Acacia aulacocarpa|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia aulacocarpa|direct|WFO|wfo-0000202547
48|GTS|Acacia auriculiformis|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000173754|Acacia auriculiformis|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia auriculiformis|direct|WFO|wfo-0000173754
49|GTS|Acacia baileyana|F.Muell.|Fabaceae|Acacia|direct|WFO|wfo-0000189913|Acacia baileyana|F.Muell.|ACCEPTED|""|""|Acacia baileyana|direct|WFO|wfo-0000189913
50|GTS|Acacia beauverdiana|Ewart & Sharman|Fabaceae|Acacia|direct|WFO|wfo-0000202961|Acacia beauverdiana|Ewart & Sharman|ACCEPTED|""|""|Acacia beauverdiana|direct|WFO|wfo-0000202961
51|GTS|Acacia binervata|DC.|Fabaceae|Acacia|direct|WFO|wfo-0000185290|Acacia binervata|DC.|ACCEPTED|""|""|Acacia binervata|direct|WFO|wfo-0000185290
52|GTS|Acacia binervia|(J.C.Wendl.) J.F.Macbr.|Fabaceae|Acacia|direct|WFO|wfo-0000190121|Acacia binervia|(J.C.Wendl.) J.F.Macbr.|ACCEPTED|""|""|Acacia binervia|direct|WFO|wfo-0000190121
53|GTS|Acacia brachystachya|Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202933|Acacia brachystachya|Benth.|ACCEPTED|""|""|Acacia brachystachya|direct|WFO|wfo-0000202933
54|GTS|Acacia burrowii|Maiden|Fabaceae|Acacia|direct|WFO|wfo-0000202789|Acacia burrowii|Maiden|ACCEPTED|""|""|Acacia burrowii|direct|WFO|wfo-0000202789
55|GTS|Acacia calcicola|Forde & Isiny|Fabaceae|Acacia|direct|WFO|wfo-0000202379|Acacia calcicola|Forde & Ising|ACCEPTED|""|""|Acacia calcicola|direct|WFO|wfo-0000202379
56|GTS|Acacia cambagei|R.T.Baker|Fabaceae|Acacia|direct|WFO|wfo-0000202385|Acacia cambagei|R.T.Baker|ACCEPTED|""|""|Acacia cambagei|direct|WFO|wfo-0000202385
57|GTS|Acacia cana|Maiden|Fabaceae|Acacia|direct|WFO|wfo-0000202375|Acacia cana|Maiden|ACCEPTED|""|""|Acacia cana|direct|WFO|wfo-0000202375
58|GTS|Acacia celsa|Tindale|Fabaceae|Acacia|direct|WFO|wfo-0001270585|Acacia celsa|Tindale|ACCEPTED|""|""|Acacia celsa|direct|WFO|wfo-0001270585
59|Top830plus|Acacia cincinnata|F.Muell.|Fabaceae|Acacia|direct|WFO|wfo-0000186346|Acacia cincinnata|F.Muell.|ACCEPTED|""|""|(not listed in WCUPS)|""|""|""
60|GTS|Acacia colei|Maslin & L.A.J.Thomson|Fabaceae|Acacia|direct|WFO|wfo-0000202587|Acacia colei|Maslin & L.A.J.Thomson|ACCEPTED|""|""|Acacia colei|direct|WFO|wfo-0000202587
61|GTS|Acacia colletioides|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202264|Acacia colletioides|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia colletioides|direct|WFO|wfo-0000202264
62|GTS|Acacia concurrens|Pedley|Fabaceae|Acacia|direct|WFO|wfo-0000185341|Acacia concurrens|Pedley|ACCEPTED|""|""|Acacia concurrens|direct|WFO|wfo-0000185341
63|GTS|Acacia confusa|Merr.|Fabaceae|Acacia|direct|WFO|wfo-0000186120|Acacia confusa|Merr.|ACCEPTED|""|""|Acacia confusa|direct|WFO|wfo-0000186120
64|GTS|Acacia cowleana|Tate|Fabaceae|Acacia|direct|WFO|wfo-0000202591|Acacia cowleana|Tate|ACCEPTED|""|""|Acacia cowleana|direct|WFO|wfo-0000202591
65|GTS|Acacia crassicarpa|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202545|Acacia crassicarpa|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia crassicarpa|direct|WFO|wfo-0000202545
66|GTS|Acacia cuthbertsonii|Luehm.|Fabaceae|Acacia|direct|WFO|wfo-0000202905|Acacia cuthbertsonii|Luehm.|ACCEPTED|""|""|Acacia cuthbertsonii|direct|WFO|wfo-0000202905
67|GTS|Acacia cyclops|A.Cunn. ex G.Don|Fabaceae|Acacia|direct|WFO|wfo-0000192127|Acacia cyclops|A.Cunn. ex G.Don|ACCEPTED|""|""|Acacia cyclops|direct|WFO|wfo-0000192127
68|GTS|Acacia cyperophylla|F.Muell. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202875|Acacia cyperophylla|F.Muell. ex Benth.|ACCEPTED|""|""|Acacia cyperophylla|direct|WFO|wfo-0000202875
69|GTS|Acacia dealbata|Link|Fabaceae|Acacia|direct|WFO|wfo-0000192338|Acacia dealbata|Link|ACCEPTED|""|""|Acacia dealbata|direct|WFO|wfo-0000192338
70|GTS|Acacia decurrens|(J.C.Wendl.) Willd.|Fabaceae|Acacia|direct|WFO|wfo-0000192434|Acacia decurrens|(J.C.Wendl.) Willd.|ACCEPTED|""|""|Acacia decurrens|direct|WFO|wfo-0000192434
71|GTS|Acacia difficilis|Maiden|Fabaceae|Acacia|direct|WFO|wfo-0000202611|Acacia difficilis|Maiden|ACCEPTED|""|""|Acacia difficilis|direct|WFO|wfo-0000202611
72|GTS|Acacia disparrima|M.W.McDonald & Maslin|Fabaceae|Acacia|direct|WFO|wfo-0001270690|Acacia disparrima|M.W.McDonald & Maslin|ACCEPTED|""|""|Acacia disparrima|direct|WFO|wfo-0001270690
73|GTS|Acacia dodonaeifolia|(Pers.) Balb.|Fabaceae|Acacia|direct|WFO|wfo-0000202078|Acacia dodonaeifolia|(Pers.) Balb.|ACCEPTED|""|""|Acacia dodonaeifolia|direct|WFO|wfo-0000202078
74|GTS|Acacia doratoxylon|A.Cunn.|Fabaceae|Acacia|direct|WFO|wfo-0000192748|Acacia doratoxylon|A.Cunn.|ACCEPTED|""|""|Acacia doratoxylon|direct|WFO|wfo-0000192748
75|GTS|Acacia elata|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000193822|Acacia elata|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia elata|direct|WFO|wfo-0000193822
76|GTS|Acacia eriopoda|Maiden|Fabaceae|Acacia|direct|WFO|wfo-0000202620|Acacia eriopoda|Maiden & Blakely|ACCEPTED|""|""|Acacia eriopoda|direct|WFO|wfo-0000202620
77|GTS|Acacia estrophiolata|F.Muell.|Fabaceae|Acacia|direct|WFO|wfo-0000202411|Acacia estrophiolata|F.Muell.|ACCEPTED|""|""|Acacia estrophiolata|direct|WFO|wfo-0000202411
78|GTS|Acacia excelsa|Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000185283|Acacia excelsa|Benth.|ACCEPTED|""|""|Acacia excelsa|direct|WFO|wfo-0000185283
79|GTS|Acacia falcata|Willd.|Fabaceae|Acacia|direct|WFO|wfo-0000192740|Acacia falcata|Willd.|ACCEPTED|""|""|Acacia falcata|direct|WFO|wfo-0000192740
80|GTS|Acacia falciformis|DC.|Fabaceae|Acacia|direct|WFO|wfo-0000185304|Acacia falciformis|DC.|ACCEPTED|""|""|Acacia falciformis|direct|WFO|wfo-0000185304
81|GTS|Acacia fasciculifera|F.Muell. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000185303|Acacia fasciculifera|F.Muell. ex Benth.|ACCEPTED|""|""|Acacia fasciculifera|direct|WFO|wfo-0000185303
82|GTS|Acacia harpophylla|F.Muell. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000186352|Acacia harpophylla|F.Muell. ex Benth.|ACCEPTED|""|""|Acacia harpophylla|direct|WFO|wfo-0000186352
83|GTS|Acacia heterophylla|(Lam.) Willd.|Fabaceae|Acacia|direct|WFO|wfo-0000185535|Acacia heterophylla|(Lam.) Willd.|ACCEPTED|""|""|Acacia heterophylla|direct|WFO|wfo-0000185535
84|GTS|Acacia holosericea|A.Cunn. ex G.Don.|Fabaceae|Acacia|direct|WFO|wfo-0000186999|Acacia holosericea|G.Don|ACCEPTED|""|""|Acacia holosericea|direct|WFO|wfo-0000186999
85|GTS|Acacia implexa|Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000192743|Acacia implexa|Benth.|ACCEPTED|""|""|Acacia implexa|direct|WFO|wfo-0000192743
86|GTS|Acacia kempeana|F.Muell.|Fabaceae|Acacia|direct|WFO|wfo-0000202890|Acacia kempeana|F.Muell.|ACCEPTED|""|""|Acacia kempeana|direct|WFO|wfo-0000202890
87|GTS|Acacia koa|A.Gray|Fabaceae|Acacia|direct|WFO|wfo-0000173762|Acacia koa|A.Gray|ACCEPTED|""|""|Acacia koa|direct|WFO|wfo-0000173762
88|GTS|Acacia koaia|Hillebr.|Fabaceae|Acacia|direct|WFO|wfo-0001055521|Acacia koaia|Hillebr.|ACCEPTED|""|""|Acacia koaia|direct|WFO|wfo-0001055521
89|GTS|Acacia latifolia|Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000185313|Acacia latifolia|Benth.|ACCEPTED|""|""|Acacia latifolia|direct|WFO|wfo-0000185313
90|GTS|Acacia leptocarpa|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202542|Acacia leptocarpa|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia leptocarpa|direct|WFO|wfo-0000202542
91|GTS|Acacia leptopetala|Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000201165|Acacia leptopetala|Benth.|ACCEPTED|""|""|Acacia leptopetala|direct|WFO|wfo-0000201165
92|GTS|Acacia ligulata|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000201494|Acacia ligulata|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia ligulata|direct|WFO|wfo-0000201494
93|GTS|Acacia loderi|Maiden|Fabaceae|Acacia|direct|WFO|wfo-0000202355|Acacia loderi|Maiden|ACCEPTED|""|""|Acacia loderi|direct|WFO|wfo-0000202355
94|GTS|Acacia longifolia|(Andrews) Willd.|Fabaceae|Acacia|direct|WFO|wfo-0000210768|Acacia longifolia|(Andrews) Willd.|ACCEPTED|""|""|Acacia longifolia|direct|WFO|wfo-0000210768
95|GTS|Acacia longissima|H.L.Wendl.|Fabaceae|Acacia|direct|WFO|wfo-0000203088|Acacia longissima|H.L.Wendl.|ACCEPTED|""|""|Acacia longissima|direct|WFO|wfo-0000203088
96|GTS|Acacia mangium|Willd.|Fabaceae|Acacia|direct|WFO|wfo-0000202567|Acacia mangium|Willd.|ACCEPTED|""|""|Acacia mangium|direct|WFO|wfo-0000202567
97|GTS|Acacia mearnsii|De Wild.|Fabaceae|Acacia|direct|WFO|wfo-0000203882|Acacia mearnsii|De Wild.|ACCEPTED|""|""|Acacia mearnsii|direct|WFO|wfo-0000203882
98|GTS|Acacia melanoxylon|R.Br.|Fabaceae|Acacia|direct|WFO|wfo-0000204086|Acacia melanoxylon|R.Br.|ACCEPTED|""|""|Acacia melanoxylon|direct|WFO|wfo-0000204086
99|GTS|Acacia microbotrya|Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000201148|Acacia microbotrya|Benth.|ACCEPTED|""|""|Acacia microbotrya|direct|WFO|wfo-0000201148
100|GTS|Acacia midgleyi|M.W.McDonald & Maslin|Fabaceae|Acacia|direct|WFO|wfo-0001270961|Acacia midgleyi|M.W.McDonald & Maslin|ACCEPTED|""|""|Acacia midgleyi|direct|WFO|wfo-0001270961
101|GTS|Acacia multisiliqua|(Benth.) Maconochie|Fabaceae|Acacia|direct|WFO|wfo-0000202448|Acacia multisiliqua|(Benth.) Maconochie|ACCEPTED|""|""|Acacia multisiliqua|direct|WFO|wfo-0000202448
102|GTS|Acacia murrayana|F.Muell. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000201418|Acacia murrayana|F.Muell. ex Benth.|ACCEPTED|""|""|Acacia murrayana|direct|WFO|wfo-0000201418
103|GTS|Acacia neriifolia|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000182943|Acacia neriifolia|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia neriifolia|direct|WFO|wfo-0000182943
104|GTS|Acacia omalophylla|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202365|Acacia omalophylla|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia omalophylla|direct|WFO|wfo-0000202365
105|GTS|Acacia oraria|F.Muell.|Fabaceae|Acacia|direct|WFO|wfo-0000202453|Acacia oraria|F.Muell.|ACCEPTED|""|""|Acacia oraria|direct|WFO|wfo-0000202453
106|GTS|Acacia oswaldii|F.Muell.|Fabaceae|Acacia|direct|WFO|wfo-0000185318|Acacia oswaldii|F.Muell.|ACCEPTED|""|""|Acacia oswaldii|direct|WFO|wfo-0000185318
107|Top830plus|Acacia pachycarpa|F.Muell. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202910|Acacia pachycarpa|Benth.|ACCEPTED|""|""|(not listed in WCUPS)|""|""|""
108|GTS|Acacia papyrocarpa|Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202357|Acacia papyrocarpa|Benth.|ACCEPTED|""|""|Acacia papyrocarpa|direct|WFO|wfo-0000202357
109|GTS|Acacia paradoxa|DC.|Fabaceae|Acacia|direct|WFO|wfo-0000185340|Acacia paradoxa|DC.|ACCEPTED|""|""|Acacia paradoxa|direct|WFO|wfo-0000185340
110|GTS|Acacia pellita|O.Schwarz|Fabaceae|Acacia|direct|WFO|wfo-0000202581|Acacia pellita|O.Schwarz|ACCEPTED|""|""|Acacia pellita|direct|WFO|wfo-0000202581
111|GTS|Acacia pendula|A.Cunn. ex G.Don|Fabaceae|Acacia|direct|WFO|wfo-0000208640|Acacia pendula|A.Cunn. ex G.Don|ACCEPTED|""|""|Acacia pendula|direct|WFO|wfo-0000208640
112|GTS|Acacia penninervis|Sieber ex DC.|Fabaceae|Acacia|direct|WFO|wfo-0000192746|Acacia penninervis|Sieber ex DC.|ACCEPTED|""|""|Acacia penninervis|direct|WFO|wfo-0000192746
113|GTS|Acacia peuce|F.Muell.|Fabaceae|Acacia|direct|WFO|wfo-0000185338|Acacia peuce|F.Muell.|ACCEPTED|""|""|Acacia peuce|direct|WFO|wfo-0000185338
114|GTS|Acacia plectocarpa|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000202623|Acacia plectocarpa|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia plectocarpa|direct|WFO|wfo-0000202623
115|GTS|Acacia podalyriifolia|A.Cunn. ex G.Don|Fabaceae|Acacia|direct|WFO|wfo-0000209495|Acacia podalyriifolia|A.Cunn. ex G.Don|ACCEPTED|""|""|Acacia podalyriifolia|direct|WFO|wfo-0000209495
116|GTS|Acacia polystachya|A.Cunn. ex Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000186350|Acacia polystachya|A.Cunn. ex Benth.|ACCEPTED|""|""|Acacia polystachya|direct|WFO|wfo-0000186350
117|GTS|Acacia prominens|A.Cunn. ex G.Don|Fabaceae|Acacia|direct|WFO|wfo-0000185289|Acacia prominens|A.Cunn. ex G.Don|ACCEPTED|""|""|Acacia prominens|direct|WFO|wfo-0000185289
118|GTS|Acacia pruinocarpa|Tindale|Fabaceae|Acacia|direct|WFO|wfo-0000185350|Acacia pruinocarpa|Tindale|ACCEPTED|""|""|Acacia pruinocarpa|direct|WFO|wfo-0000185350
119|GTS|Acacia pubescens|(Vent.) R.Br.|Fabaceae|Acacia|direct|WFO|wfo-0000200993|Acacia pubescens|(Vent.) R.Br.|ACCEPTED|""|""|Acacia pubescens|direct|WFO|wfo-0000200993
120|GTS|Acacia pulchella|R.Br.|Fabaceae|Acacia|direct|WFO|wfo-0000185320|Acacia pulchella|R.Br.|ACCEPTED|""|""|Acacia pulchella|direct|WFO|wfo-0000185320
121|GTS|Acacia pycnantha|Benth.|Fabaceae|Acacia|direct|WFO|wfo-0000210558|Acacia pycnantha|Benth.|ACCEPTED|""|""|Acacia pycnantha|direct|WFO|wfo-0000210558
122|GTS|Acacia ramulosa|W.Fitzg.|Fabaceae|Acacia|direct|WFO|wfo-0000202927|Acacia ramulosa|W.Fitzg.|ACCEPTED|""|""|Acacia ramulosa|direct|WFO|wfo-0000202927
123|GTS|Acacia redolens|Maslin|Fabaceae|Acacia|direct|WFO|wfo-0000202193|Acacia redolens|Maslin|ACCEPTED|""|""|Acacia redolens|direct|WFO|wfo-0000202193
124|GTS|Acacia retinodes|Schltdl.|Fabaceae|Acacia|direct|WFO|wfo-0000181109|Acacia retinodes|Schltdl.|ACCEPTED|""|""|Acacia retinodes|direct|WFO|wfo-0000181109
125|GTS|Acacia richii|A.Gray|Fabaceae|Acacia|direct|WFO|wfo-0000192747|Acacia richii|A.Gray|ACCEPTED|""|""|Acacia richii|direct|WFO|wfo-0000192747
126|GTS|Acacia salicina|Lindl.|Fabaceae|Acacia|direct|WFO|wfo-0000185366|Acacia salicina|Lindl.|ACCEPTED|""|""|Acacia salicina|direct|WFO|wfo-0000185366
127|GTS|Acacia saligna|(Labill.) H.L.Wendl.|Fabaceae|Acacia|direct|WFO|wfo-0000210801|Acacia saligna|(Labill.) Wendl.|ACCEPTED|""|""|Acacia saligna|direct|WFO|wfo-0000210801
128|GTS|Acacia shirleyi|Maiden|Fabaceae|Acacia|direct|WFO|wfo-0000185330|Acacia shirleyi|Maiden|ACCEPTED|""|""|Acacia shirleyi|direct|WFO|wfo-0000185330
